 tempo     90  90_std        dia tipo_vento
118.54  -8.42    0.31 2005-04-28 meridional
119.54 -10.73    0.23 2005-04-29 meridional
120.50   3.70    0.25 2005-04-30 meridional
121.54   8.37    0.20 2005-05-01 meridional
122.54    NaN    0.00 2005-05-02 meridional
123.54 -40.85    0.20 2005-05-03 meridional
124.54 -33.22    0.11 2005-05-04 meridional
125.54 -11.11    0.52 2005-05-05 meridional
126.54  -2.78    0.07 2005-05-06 meridional
127.54  13.98    0.16 2005-05-07 meridional
128.54  -5.74    0.01 2005-05-08 meridional
129.54 -15.33    0.56 2005-05-09 meridional
130.54   9.19    0.06 2005-05-10 meridional
131.54  30.26    0.15 2005-05-11 meridional
132.54  35.07    0.24 2005-05-12 meridional
133.54   0.45    0.76 2005-05-13 meridional
134.54 -43.04    0.17 2005-05-14 meridional
135.54 -22.80    0.05 2005-05-15 meridional
136.54  -1.22    0.28 2005-05-16 meridional
137.54  16.72    0.24 2005-05-17 meridional
138.54   2.80    1.08 2005-05-18 meridional
139.54 -47.73    0.21 2005-05-19 meridional
140.54 -15.69    0.17 2005-05-20 meridional
141.54  11.23    0.21 2005-05-21 meridional
142.54 -23.29    0.10 2005-05-22 meridional
143.54 -34.82    0.38 2005-05-23 meridional
144.54 -24.32    0.08 2005-05-24 meridional
145.54 -44.36    0.66 2005-05-25 meridional
146.54 -63.60    0.29 2005-05-26 meridional
147.54 -10.59    0.01 2005-05-27 meridional
148.54   4.29    0.42 2005-05-28 meridional
149.54 -43.49    0.14 2005-05-29 meridional
150.54 -30.84    0.09 2005-05-30 meridional
151.50 -25.62    0.05 2005-05-31 meridional
152.54  17.34    0.13 2005-06-01 meridional
153.54   7.69    0.06 2005-06-02 meridional
154.54 -17.54    0.33 2005-06-03 meridional
155.54 -50.58    0.25 2005-06-04 meridional
156.54 -50.49    0.22 2005-06-05 meridional
157.54 -36.97    0.01 2005-06-06 meridional
158.54 -19.20    0.37 2005-06-07 meridional
159.54 -22.99    0.49 2005-06-08 meridional
160.54  -9.33    0.20 2005-06-09 meridional
161.54 -63.76    0.26 2005-06-10 meridional
162.54 -10.12    0.13 2005-06-11 meridional
163.54 -17.54    0.38 2005-06-12 meridional
164.54 -15.42    0.21 2005-06-13 meridional
165.54  -0.07    0.06 2005-06-14 meridional
166.54 -32.30    0.01 2005-06-15 meridional
167.54  23.14    0.52 2005-06-16 meridional
168.54  -4.76    0.19 2005-06-17 meridional
169.54  29.48    0.33 2005-06-18 meridional
170.54 -10.52    0.29 2005-06-19 meridional
171.54 -40.26    0.46 2005-06-20 meridional
172.54  -4.22    0.21 2005-06-21 meridional
173.54 -23.48    0.13 2005-06-22 meridional
174.54  19.70    0.09 2005-06-23 meridional
175.54 -26.27    0.15 2005-06-24 meridional
176.54    NaN    0.00 2005-06-25 meridional
177.54 -12.48    0.17 2005-06-26 meridional
178.54  21.10    0.17 2005-06-27 meridional
179.54 -18.01    0.25 2005-06-28 meridional
180.54   6.81    0.53 2005-06-29 meridional
181.50 -36.55    0.03 2005-06-30 meridional
182.54  -1.08    0.17 2005-07-01 meridional
183.54 -12.40    0.14 2005-07-02 meridional
