nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;240;b'T';70.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
0;780;b'T';70.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';;;;
0;781;b'T';70.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
0;1028;b'F';70.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
1;240;b'T';72.5;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
1;780;b'T';72.5;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';;;;
1;781;b'T';72.5;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
1;1028;b'F';72.5;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
2;240;b'T';75.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
2;780;b'T';75.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';;;;
2;781;b'T';75.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
2;1028;b'F';75.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
3;240;b'T';77.5;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
3;780;b'T';77.5;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';;;;
3;781;b'T';77.5;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
3;1028;b'F';77.5;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
4;240;b'T';80.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
4;780;b'T';80.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';;;;
4;781;b'T';80.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
4;1028;b'F';80.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
5;240;b'T';82.5;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';20.876354;413.5465;-10.893106;312.16556
5;780;b'T';82.5;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';26.853466;457.54834;-36.441566;424.64215
5;781;b'T';82.5;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
5;1028;b'F';82.5;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
6;240;b'T';85.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';-15.438023;246.92622;36.697334;200.6573
6;780;b'T';85.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';29.66129;374.09598;-23.002995;358.30194
6;781;b'T';85.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
6;1028;b'F';85.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
7;240;b'T';87.5;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';-4.339326;91.51889;-9.421364;138.17934
7;780;b'T';87.5;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';23.512615;298.8552;-10.535112;285.85953
7;781;b'T';87.5;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
7;1028;b'F';87.5;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
8;240;b'T';90.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
8;780;b'T';90.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';6.1733046;268.9796;9.742901;248.71678
8;781;b'T';90.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
8;1028;b'F';90.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
9;240;b'T';92.5;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
9;780;b'T';92.5;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';-22.576105;243.92964;29.872272;225.77765
9;781;b'T';92.5;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
9;1028;b'F';92.5;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
10;240;b'T';95.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
10;780;b'T';95.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';-36.914894;229.42496;31.909847;231.03735
10;781;b'T';95.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
10;1028;b'F';95.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
11;240;b'T';97.5;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
11;780;b'T';97.5;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';-21.112976;237.47499;25.635422;231.02692
11;781;b'T';97.5;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
11;1028;b'F';97.5;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
12;240;b'T';100.0;b'2006157';8.750277777777777;-10.331608;333.2944;b'T';;;;
12;780;b'T';100.0;b'2006157';12.021666666666667;-11.779861;317.6015;b'T';11.152172;247.23189;9.76832;207.4925
12;781;b'T';100.0;b'2006157';12.057500000000001;-4.329099;318.98898;b'T';;;;
12;1028;b'F';100.0;b'2006157';20.939166666666665;-0.62971216;333.57126;b'T';;;;
