nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;16;b'F';70.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
0;17;b'F';70.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
0;216;b'F';70.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
0;807;b'T';70.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';;;;
0;808;b'T';70.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';;;;
1;16;b'F';72.5;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
1;17;b'F';72.5;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
1;216;b'F';72.5;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
1;807;b'T';72.5;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';;;;
1;808;b'T';72.5;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';;;;
2;16;b'F';75.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
2;17;b'F';75.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
2;216;b'F';75.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
2;807;b'T';75.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';;;;
2;808;b'T';75.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';;;;
3;16;b'F';77.5;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
3;17;b'F';77.5;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
3;216;b'F';77.5;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
3;807;b'T';77.5;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';;;;
3;808;b'T';77.5;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';;;;
4;16;b'F';80.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';-2.8044424;973.625;18.263472;754.52826
4;17;b'F';80.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';10.544882;699.51416;9.16593;654.36456
4;216;b'F';80.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
4;807;b'T';80.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';-43.61459;606.93713;-30.004944;525.3656
4;808;b'T';80.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';-34.422047;892.52893;-16.081347;602.77875
5;16;b'F';82.5;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';-16.02267;916.0349;31.261147;682.83405
5;17;b'F';82.5;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';-5.3969307;669.8055;13.567942;627.9295
5;216;b'F';82.5;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
5;807;b'T';82.5;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';9.683434;512.4929;-16.42258;429.23373
5;808;b'T';82.5;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';-3.863719;763.6037;-33.038998;511.75937
6;16;b'F';85.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';-18.838017;725.5267;42.484737;479.08844
6;17;b'F';85.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';-12.178272;568.28076;17.64741;541.8524
6;216;b'F';85.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
6;807;b'T';85.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';12.885744;455.73676;-19.682844;384.10754
6;808;b'T';85.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';15.579124;699.79236;-59.566257;425.97754
7;16;b'F';87.5;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';-21.21948;383.18582;44.760567;211.29404
7;17;b'F';87.5;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';-17.033237;363.95743;18.673948;378.69516
7;216;b'F';87.5;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
7;807;b'T';87.5;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';11.745145;378.24115;-17.411371;323.53094
7;808;b'T';87.5;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';29.998013;669.7437;-66.44181;403.69055
8;16;b'F';90.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';-28.272192;193.11002;42.647587;132.37546
8;17;b'F';90.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';-23.169868;193.99112;20.116743;220.59814
8;216;b'F';90.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
8;807;b'T';90.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';13.925386;287.42383;-9.14156;236.82536
8;808;b'T';90.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';18.306105;550.3956;-33.288105;334.01065
9;16;b'F';92.5;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';-42.370476;207.35803;32.544483;156.81963
9;17;b'F';92.5;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';-30.180693;137.9352;17.243431;124.25092
9;216;b'F';92.5;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
9;807;b'T';92.5;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';4.032817;306.65778;-31.658175;244.47537
9;808;b'T';92.5;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';14.085888;486.6776;-6.011208;303.3888
10;16;b'F';95.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
10;17;b'F';95.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
10;216;b'F';95.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
10;807;b'T';95.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';-16.684095;298.98206;-40.855347;235.04143
10;808;b'T';95.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';32.706497;473.34146;5.6892233;324.366
11;16;b'F';97.5;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
11;17;b'F';97.5;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
11;216;b'F';97.5;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
11;807;b'T';97.5;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';-18.929867;277.62646;-40.691868;208.72406
11;808;b'T';97.5;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';-0.7129717;468.51514;-38.09737;311.88538
12;16;b'F';100.0;b'2005140';0.5322222222222223;-0.6293808;332.06058;b'T';;;;
12;17;b'F';100.0;b'2005140';0.5680555555555556;-8.045974;333.56396;b'T';;;;
12;216;b'F';100.0;b'2005140';3.8047222222222223;0.62946063;315.7187;b'T';;;;
12;807;b'T';100.0;b'2005140';12.616666666666667;-10.332391;326.68704;b'T';-11.619216;261.7386;-53.939606;207.23239
12;808;b'T';100.0;b'2005140';12.652222222222223;-3.0490787;328.6414;b'T';-4.767849;469.81766;-75.46045;337.84515
