nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;134;b'T';70.0;b'2005191';2.3669444444444445;-10.331715;329.79504;b'T';;;;
0;135;b'T';70.0;b'2005191';2.4030555555555555;-3.0486717;331.7412;b'T';;;;
0;350;b'T';70.0;b'2005191';5.639444444444445;-11.779851;314.08536;b'T';;;;
0;351;b'T';70.0;b'2005191';5.675555555555556;-4.329084;315.46866;b'T';;;;
0;869;b'F';70.0;b'2005191';14.557777777777778;-0.6299213;330.04288;b'T';;;;
0;870;b'F';70.0;b'2005191';14.59361111111111;-8.046405;331.54636;b'T';;;;
0;871;b'F';70.0;b'2005191';14.629444444444443;-15.527509;332.8304;b'T';;;;
0;1025;b'F';70.0;b'2005191';17.86638888888889;-6.703416;315.4792;b'T';;;;
0;1026;b'F';70.0;b'2005191';17.902222222222225;-13.928725;317.62015;b'T';;;;
1;134;b'T';72.5;b'2005191';2.3669444444444445;-10.331715;329.79504;b'T';;;;
1;135;b'T';72.5;b'2005191';2.4030555555555555;-3.0486717;331.7412;b'T';;;;
1;350;b'T';72.5;b'2005191';5.639444444444445;-11.779851;314.08536;b'T';;;;
1;351;b'T';72.5;b'2005191';5.675555555555556;-4.329084;315.46866;b'T';;;;
1;869;b'F';72.5;b'2005191';14.557777777777778;-0.6299213;330.04288;b'T';;;;
1;870;b'F';72.5;b'2005191';14.59361111111111;-8.046405;331.54636;b'T';;;;
1;871;b'F';72.5;b'2005191';14.629444444444443;-15.527509;332.8304;b'T';;;;
1;1025;b'F';72.5;b'2005191';17.86638888888889;-6.703416;315.4792;b'T';;;;
1;1026;b'F';72.5;b'2005191';17.902222222222225;-13.928725;317.62015;b'T';;;;
2;134;b'T';75.0;b'2005191';2.3669444444444445;-10.331715;329.79504;b'T';;;;
2;135;b'T';75.0;b'2005191';2.4030555555555555;-3.0486717;331.7412;b'T';;;;
2;350;b'T';75.0;b'2005191';5.639444444444445;-11.779851;314.08536;b'T';;;;
2;351;b'T';75.0;b'2005191';5.675555555555556;-4.329084;315.46866;b'T';;;;
2;869;b'F';75.0;b'2005191';14.557777777777778;-0.6299213;330.04288;b'T';;;;
2;870;b'F';75.0;b'2005191';14.59361111111111;-8.046405;331.54636;b'T';;;;
2;871;b'F';75.0;b'2005191';14.629444444444443;-15.527509;332.8304;b'T';;;;
2;1025;b'F';75.0;b'2005191';17.86638888888889;-6.703416;315.4792;b'T';;;;
2;1026;b'F';75.0;b'2005191';17.902222222222225;-13.928725;317.62015;b'T';;;;
3;134;b'T';77.5;b'2005191';2.3669444444444445;-10.331715;329.79504;b'T';;;;
3;135;b'T';77.5;b'2005191';2.4030555555555555;-3.0486717;331.7412;b'T';;;;
3;350;b'T';77.5;b'2005191';5.639444444444445;-11.779851;314.08536;b'T';;;;
3;351;b'T';77.5;b'2005191';5.675555555555556;-4.329084;315.46866;b'T';;;;
3;869;b'F';77.5;b'2005191';14.557777777777778;-0.6299213;330.04288;b'T';;;;
3;870;b'F';77.5;b'2005191';14.59361111111111;-8.046405;331.54636;b'T';;;;
3;871;b'F';77.5;b'2005191';14.629444444444443;-15.527509;332.8304;b'T';;;;
3;1025;b'F';77.5;b'2005191';17.86638888888889;-6.703416;315.4792;b'T';;;;
3;1026;b'F';77.5;b'2005191';17.902222222222225;-13.928725;317.62015;b'T';;;;
4;134;b'T';80.0;b'2005191';2.3669444444444445;-10.331715;329.79504;b'T';;;;
4;135;b'T';80.0;b'2005191';2.4030555555555555;-3.0486717;331.7412;b'T';;;;
4;350;b'T';80.0;b'2005191';5.639444444444445;-11.779851;314.08536;b'T';;;;
4;351;b'T';80.0;b'2005191';5.675555555555556;-4.329084;315.46866;b'T';;;;
4;869;b'F';80.0;b'2005191';14.557777777777778;-0.6299213;330.04288;b'T';;;;
4;870;b'F';80.0;b'2005191';14.59361111111111;-8.046405;331.54636;b'T';-31.545895;0.6507735;-32.91348;0.53216225
4;871;b'F';80.0;b'2005191';14.629444444444443;-15.527509;332.8304;b'T';-16.53918;0.7932317;-7.1853743;0.75813854
4;1025;b'F';80.0;b'2005191';17.86638888888889;-6.703416;315.4792;b'T';8.84851;0.6023251;17.00408;0.6911601
4;1026;b'F';80.0;b'2005191';17.902222222222225;-13.928725;317.62015;b'T';-5.1241207;0.8138686;-17.729362;0.89328325
5;134;b'T';82.5;b'2005191';2.3669444444444445;-10.331715;329.79504;b'T';10.426835;0.64475125;17.366478;0.66965705
5;135;b'T';82.5;b'2005191';2.4030555555555555;-3.0486717;331.7412;b'T';-39.718784;0.6354479;45.657578;0.6353978
