nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;591;b'F';70.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';;;;
0;592;b'F';70.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';;;;
0;593;b'F';70.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';;;;
0;717;b'F';70.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';;;;
0;718;b'F';70.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';;;;
0;719;b'F';70.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';;;;
0;1201;b'T';70.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
1;591;b'F';72.5;b'2006095';10.5125;-0.6305971;314.06915;b'T';;;;
1;592;b'F';72.5;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';;;;
1;593;b'F';72.5;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';;;;
1;717;b'F';72.5;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';;;;
1;718;b'F';72.5;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';;;;
1;719;b'F';72.5;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';;;;
1;1201;b'T';72.5;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
2;591;b'F';75.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';;;;
2;592;b'F';75.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';;;;
2;593;b'F';75.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';;;;
2;717;b'F';75.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';;;;
2;718;b'F';75.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';;;;
2;719;b'F';75.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';;;;
2;1201;b'T';75.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
3;591;b'F';77.5;b'2006095';10.5125;-0.6305971;314.06915;b'T';;;;
3;592;b'F';77.5;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';;;;
3;593;b'F';77.5;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';;;;
3;717;b'F';77.5;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';;;;
3;718;b'F';77.5;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';;;;
3;719;b'F';77.5;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';;;;
3;1201;b'T';77.5;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
4;591;b'F';80.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';;;;
4;592;b'F';80.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';;;;
4;593;b'F';80.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';;;;
4;717;b'F';80.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';;;;
4;718;b'F';80.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';;;;
4;719;b'F';80.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';;;;
4;1201;b'T';80.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
5;591;b'F';82.5;b'2006095';10.5125;-0.6305971;314.06915;b'T';-55.05697;859.1811;-30.666641;3407.5437
5;592;b'F';82.5;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';-26.075993;517.9866;-14.455839;1968.4331
5;593;b'F';82.5;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';-46.706436;1276.3708;-11.521711;1105.3624
5;717;b'F';82.5;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';13.043407;696.9589;-8.057204;553.70605
5;718;b'F';82.5;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-23.562683;985.1324;-0.21234417;398.6148
5;719;b'F';82.5;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';37.177387;658.696;-18.174831;548.45105
5;1201;b'T';82.5;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
6;591;b'F';85.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';-30.929682;285.3083;42.91826;306.62823
6;592;b'F';85.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';19.724222;249.65105;-15.012133;317.42944
6;593;b'F';85.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';-38.163826;426.91608;9.944473;293.05118
6;717;b'F';85.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';6.020185;580.01587;17.214167;439.902
6;718;b'F';85.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-13.187548;886.0861;7.3324056;317.63464
6;719;b'F';85.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';33.53546;569.83594;-23.550507;430.44098
6;1201;b'T';85.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
7;591;b'F';87.5;b'2006095';10.5125;-0.6305971;314.06915;b'T';-27.76726;195.56003;52.757042;179.94148
7;592;b'F';87.5;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';62.938408;172.64783;-35.537125;201.6146
7;593;b'F';87.5;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';-27.319422;343.8324;18.830322;189.29054
7;717;b'F';87.5;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';-4.1851263;440.52676;31.75391;343.30298
7;718;b'F';87.5;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-22.304127;670.2606;8.777771;253.27087
7;719;b'F';87.5;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';13.492564;486.8299;-29.717134;362.26782
7;1201;b'T';87.5;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
8;591;b'F';90.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';-42.48716;291.21667;41.082382;264.50876
8;592;b'F';90.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';100.61072;321.97043;-56.13003;464.9754
8;593;b'F';90.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';-10.199711;333.9424;31.2233;356.1434
8;717;b'F';90.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';-22.65497;393.00946;19.495153;339.41367
8;718;b'F';90.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-37.799652;533.5936;8.198887;218.7392
8;719;b'F';90.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';-33.722916;403.9409;3.194807;272.7546
8;1201;b'T';90.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
9;591;b'F';92.5;b'2006095';10.5125;-0.6305971;314.06915;b'T';-27.15129;380.64545;16.674198;425.29507
9;592;b'F';92.5;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';131.48709;241.1024;-47.407745;276.09003
9;593;b'F';92.5;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';14.336903;211.03255;60.257767;176.5751
9;717;b'F';92.5;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';-52.717136;445.42764;-27.63792;397.27936
9;718;b'F';92.5;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-72.596245;584.04047;15.326948;250.52809
9;719;b'F';92.5;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';-56.038364;295.958;58.392418;255.58427
9;1201;b'T';92.5;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
10;591;b'F';95.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';36.374195;327.59747;-39.826653;324.59213
10;592;b'F';95.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';153.43314;242.50964;-30.17289;256.17108
10;593;b'F';95.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';5.7090383;157.12112;83.38289;154.6482
10;717;b'F';95.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';-51.97038;446.6283;-67.702156;342.03333
10;718;b'F';95.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-89.83468;620.90924;20.008205;215.43042
10;719;b'F';95.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';-36.310406;348.28857;88.82914;227.80243
10;1201;b'T';95.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
11;591;b'F';97.5;b'2006095';10.5125;-0.6305971;314.06915;b'T';14.298454;393.28946;-55.362583;290.93033
11;592;b'F';97.5;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';148.87946;284.36844;-54.214447;296.0841
11;593;b'F';97.5;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';-32.443108;144.88638;76.277466;125.77575
11;717;b'F';97.5;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';-27.396263;364.4746;-54.706512;228.35585
11;718;b'F';97.5;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';-36.69861;651.2863;-6.1695957;169.70958
11;719;b'F';97.5;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';-16.657148;412.61893;41.08881;235.40704
11;1201;b'T';97.5;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
12;591;b'F';100.0;b'2006095';10.5125;-0.6305971;314.06915;b'T';-10.807041;397.572;-48.76198;340.8083
12;592;b'F';100.0;b'2006095';10.548055555555555;-8.046998;315.57733;b'T';116.23377;376.02948;-88.59377;368.95026
12;593;b'F';100.0;b'2006095';10.584444444444445;-15.528029;316.8534;b'T';-43.235687;184.86816;46.39499;142.4693
12;717;b'F';100.0;b'2006095';12.166666666666666;0.6306518;322.06866;b'T';4.848859;365.69687;-31.090878;248.985
12;718;b'F';100.0;b'2006095';12.203055555555554;-6.7029066;323.84326;b'T';37.89086;666.1192;-47.876694;201.21614
12;719;b'F';100.0;b'2006095';12.238888888888889;-13.928108;325.98456;b'T';2.5740604;451.47733;-37.868988;309.6753
12;1201;b'T';100.0;b'2006095';20.97611111111111;-10.330916;333.074;b'T';;;;
