nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;116;b'F';70.0;b'2005017';2.2644444444444445;-15.527383;314.16647;b'T';;;;
0;173;b'F';70.0;b'2005017';3.849722222222222;0.62974286;319.3367;b'T';;;;
0;174;b'F';70.0;b'2005017';3.886388888888889;-6.7038355;321.10672;b'T';;;;
0;175;b'F';70.0;b'2005017';3.9230555555555555;-13.929172;323.23505;b'T';;;;
0;666;b'T';70.0;b'2005017';12.66;-10.332049;330.33;b'T';;;;
0;667;b'T';70.0;b'2005017';12.695833333333333;-3.0487785;332.28036;b'T';;;;
0;867;b'T';70.0;b'2005017';15.932500000000001;-11.779784;314.62048;b'T';;;;
0;868;b'T';70.0;b'2005017';15.96861111111111;-4.328994;316.00363;b'T';;;;
1;116;b'F';72.5;b'2005017';2.2644444444444445;-15.527383;314.16647;b'T';;;;
1;173;b'F';72.5;b'2005017';3.849722222222222;0.62974286;319.3367;b'T';;;;
1;174;b'F';72.5;b'2005017';3.886388888888889;-6.7038355;321.10672;b'T';;;;
1;175;b'F';72.5;b'2005017';3.9230555555555555;-13.929172;323.23505;b'T';;;;
1;666;b'T';72.5;b'2005017';12.66;-10.332049;330.33;b'T';;;;
1;667;b'T';72.5;b'2005017';12.695833333333333;-3.0487785;332.28036;b'T';;;;
1;867;b'T';72.5;b'2005017';15.932500000000001;-11.779784;314.62048;b'T';;;;
1;868;b'T';72.5;b'2005017';15.96861111111111;-4.328994;316.00363;b'T';;;;
2;116;b'F';75.0;b'2005017';2.2644444444444445;-15.527383;314.16647;b'T';;;;
2;173;b'F';75.0;b'2005017';3.849722222222222;0.62974286;319.3367;b'T';;;;
2;174;b'F';75.0;b'2005017';3.886388888888889;-6.7038355;321.10672;b'T';;;;
2;175;b'F';75.0;b'2005017';3.9230555555555555;-13.929172;323.23505;b'T';;;;
2;666;b'T';75.0;b'2005017';12.66;-10.332049;330.33;b'T';;;;
2;667;b'T';75.0;b'2005017';12.695833333333333;-3.0487785;332.28036;b'T';;;;
2;867;b'T';75.0;b'2005017';15.932500000000001;-11.779784;314.62048;b'T';;;;
2;868;b'T';75.0;b'2005017';15.96861111111111;-4.328994;316.00363;b'T';;;;
3;116;b'F';77.5;b'2005017';2.2644444444444445;-15.527383;314.16647;b'T';;;;
3;173;b'F';77.5;b'2005017';3.849722222222222;0.62974286;319.3367;b'T';;;;
3;174;b'F';77.5;b'2005017';3.886388888888889;-6.7038355;321.10672;b'T';;;;
3;175;b'F';77.5;b'2005017';3.9230555555555555;-13.929172;323.23505;b'T';;;;
3;666;b'T';77.5;b'2005017';12.66;-10.332049;330.33;b'T';;;;
3;667;b'T';77.5;b'2005017';12.695833333333333;-3.0487785;332.28036;b'T';;;;
3;867;b'T';77.5;b'2005017';15.932500000000001;-11.779784;314.62048;b'T';;;;
3;868;b'T';77.5;b'2005017';15.96861111111111;-4.328994;316.00363;b'T';;;;
4;116;b'F';80.0;b'2005017';2.2644444444444445;-15.527383;314.16647;b'T';;;;
4;173;b'F';80.0;b'2005017';3.849722222222222;0.62974286;319.3367;b'T';;;;
