nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;266;b'T';70.0;b'2006060';4.9525;-10.330235;317.7591;b'T';;;;
0;267;b'T';70.0;b'2006060';4.988333333333333;-3.0472739;319.71002;b'T';;;;
0;391;b'T';70.0;b'2006060';6.606111111111111;-11.780843;326.39917;b'?';;;;
0;392;b'T';70.0;b'2006060';6.642222222222222;-4.3302183;327.78302;b'?';;;;
0;1030;b'F';70.0;b'2006060';17.1425;-0.63103724;318.02008;b'T';;;;
0;1031;b'F';70.0;b'2006060';17.178333333333335;-8.047366;319.52423;b'T';;;;
0;1032;b'F';70.0;b'2006060';17.214444444444442;-15.528334;320.80475;b'T';;;;
0;1107;b'F';70.0;b'2006060';18.796666666666667;0.6311474;326.01953;b'T';;;;
0;1108;b'F';70.0;b'2006060';18.83277777777778;-6.7021337;327.7985;b'T';;;;
0;1109;b'F';70.0;b'2006060';18.86861111111111;-13.927246;329.93994;b'T';;;;
1;266;b'T';72.5;b'2006060';4.9525;-10.330235;317.7591;b'T';;;;
1;267;b'T';72.5;b'2006060';4.988333333333333;-3.0472739;319.71002;b'T';;;;
1;391;b'T';72.5;b'2006060';6.606111111111111;-11.780843;326.39917;b'?';;;;
1;392;b'T';72.5;b'2006060';6.642222222222222;-4.3302183;327.78302;b'?';;;;
1;1030;b'F';72.5;b'2006060';17.1425;-0.63103724;318.02008;b'T';;;;
1;1031;b'F';72.5;b'2006060';17.178333333333335;-8.047366;319.52423;b'T';;;;
1;1032;b'F';72.5;b'2006060';17.214444444444442;-15.528334;320.80475;b'T';;;;
1;1107;b'F';72.5;b'2006060';18.796666666666667;0.6311474;326.01953;b'T';;;;
1;1108;b'F';72.5;b'2006060';18.83277777777778;-6.7021337;327.7985;b'T';;;;
1;1109;b'F';72.5;b'2006060';18.86861111111111;-13.927246;329.93994;b'T';;;;
2;266;b'T';75.0;b'2006060';4.9525;-10.330235;317.7591;b'T';;;;
2;267;b'T';75.0;b'2006060';4.988333333333333;-3.0472739;319.71002;b'T';;;;
2;391;b'T';75.0;b'2006060';6.606111111111111;-11.780843;326.39917;b'?';;;;
2;392;b'T';75.0;b'2006060';6.642222222222222;-4.3302183;327.78302;b'?';;;;
2;1030;b'F';75.0;b'2006060';17.1425;-0.63103724;318.02008;b'T';;;;
2;1031;b'F';75.0;b'2006060';17.178333333333335;-8.047366;319.52423;b'T';;;;
2;1032;b'F';75.0;b'2006060';17.214444444444442;-15.528334;320.80475;b'T';;;;
2;1107;b'F';75.0;b'2006060';18.796666666666667;0.6311474;326.01953;b'T';;;;
2;1108;b'F';75.0;b'2006060';18.83277777777778;-6.7021337;327.7985;b'T';;;;
2;1109;b'F';75.0;b'2006060';18.86861111111111;-13.927246;329.93994;b'T';;;;
3;266;b'T';77.5;b'2006060';4.9525;-10.330235;317.7591;b'T';;;;
3;267;b'T';77.5;b'2006060';4.988333333333333;-3.0472739;319.71002;b'T';;;;
3;391;b'T';77.5;b'2006060';6.606111111111111;-11.780843;326.39917;b'?';;;;
3;392;b'T';77.5;b'2006060';6.642222222222222;-4.3302183;327.78302;b'?';;;;
3;1030;b'F';77.5;b'2006060';17.1425;-0.63103724;318.02008;b'T';;;;
3;1031;b'F';77.5;b'2006060';17.178333333333335;-8.047366;319.52423;b'T';;;;
3;1032;b'F';77.5;b'2006060';17.214444444444442;-15.528334;320.80475;b'T';;;;
3;1107;b'F';77.5;b'2006060';18.796666666666667;0.6311474;326.01953;b'T';;;;
3;1108;b'F';77.5;b'2006060';18.83277777777778;-6.7021337;327.7985;b'T';;;;
3;1109;b'F';77.5;b'2006060';18.86861111111111;-13.927246;329.93994;b'T';;;;
4;266;b'T';80.0;b'2006060';4.9525;-10.330235;317.7591;b'T';-160.40327;1051.4733;0.7600088;466.32822
4;267;b'T';80.0;b'2006060';4.988333333333333;-3.0472739;319.71002;b'T';-127.15541;521.1129;4.2832203;453.06903
4;391;b'T';80.0;b'2006060';6.606111111111111;-11.780843;326.39917;b'?';;;;
4;392;b'T';80.0;b'2006060';6.642222222222222;-4.3302183;327.78302;b'?';;;;
4;1030;b'F';80.0;b'2006060';17.1425;-0.63103724;318.02008;b'T';-109.639946;662.24554;50.663963;530.8742
4;1031;b'F';80.0;b'2006060';17.178333333333335;-8.047366;319.52423;b'T';-83.983536;482.79172;-6.256362;435.2726
4;1032;b'F';80.0;b'2006060';17.214444444444442;-15.528334;320.80475;b'T';-77.85035;544.06714;22.62875;506.71674
4;1107;b'F';80.0;b'2006060';18.796666666666667;0.6311474;326.01953;b'T';-8.114047;775.3838;20.478216;802.4994
4;1108;b'F';80.0;b'2006060';18.83277777777778;-6.7021337;327.7985;b'T';8.334242;520.2139;43.80124;454.75543
4;1109;b'F';80.0;b'2006060';18.86861111111111;-13.927246;329.93994;b'T';30.478981;542.2328;62.493984;525.8533
5;266;b'T';82.5;b'2006060';4.9525;-10.330235;317.7591;b'T';-194.57396;965.4673;-9.85355;431.04272
5;267;b'T';82.5;b'2006060';4.988333333333333;-3.0472739;319.71002;b'T';-182.64691;471.04092;-9.791634;410.62958
5;391;b'T';82.5;b'2006060';6.606111111111111;-11.780843;326.39917;b'?';;;;
5;392;b'T';82.5;b'2006060';6.642222222222222;-4.3302183;327.78302;b'?';;;;
5;1030;b'F';82.5;b'2006060';17.1425;-0.63103724;318.02008;b'T';-97.603134;527.77905;38.829556;389.40857
5;1031;b'F';82.5;b'2006060';17.178333333333335;-8.047366;319.52423;b'T';-83.165596;403.74222;4.0246887;332.00256
5;1032;b'F';82.5;b'2006060';17.214444444444442;-15.528334;320.80475;b'T';-59.070522;476.44897;1.71103;415.48056
5;1107;b'F';82.5;b'2006060';18.796666666666667;0.6311474;326.01953;b'T';-52.430664;519.275;-2.1024363;524.16125
