nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;170;b'F';70.0;b'2006102';9.221388888888889;-8.047794;314.795;b'T';;;;
0;171;b'F';70.0;b'2006102';9.257222222222222;-15.528721;316.0799;b'T';;;;
0;481;b'F';70.0;b'2006102';10.839444444444444;0.63155895;321.29425;b'T';;;;
0;482;b'F';70.0;b'2006102';10.875555555555556;-6.701875;323.07343;b'T';;;;
0;483;b'F';70.0;b'2006102';10.911388888888888;-13.926935;325.21503;b'T';;;;
0;832;b'T';70.0;b'2006102';19.650277777777777;-10.329818;332.27823;b'T';;;;
1;170;b'F';72.5;b'2006102';9.221388888888889;-8.047794;314.795;b'T';;;;
1;171;b'F';72.5;b'2006102';9.257222222222222;-15.528721;316.0799;b'T';;;;
1;481;b'F';72.5;b'2006102';10.839444444444444;0.63155895;321.29425;b'T';;;;
1;482;b'F';72.5;b'2006102';10.875555555555556;-6.701875;323.07343;b'T';;;;
1;483;b'F';72.5;b'2006102';10.911388888888888;-13.926935;325.21503;b'T';;;;
1;832;b'T';72.5;b'2006102';19.650277777777777;-10.329818;332.27823;b'T';;;;
2;170;b'F';75.0;b'2006102';9.221388888888889;-8.047794;314.795;b'T';;;;
2;171;b'F';75.0;b'2006102';9.257222222222222;-15.528721;316.0799;b'T';;;;
2;481;b'F';75.0;b'2006102';10.839444444444444;0.63155895;321.29425;b'T';;;;
2;482;b'F';75.0;b'2006102';10.875555555555556;-6.701875;323.07343;b'T';;;;
2;483;b'F';75.0;b'2006102';10.911388888888888;-13.926935;325.21503;b'T';;;;
2;832;b'T';75.0;b'2006102';19.650277777777777;-10.329818;332.27823;b'T';;;;
3;170;b'F';77.5;b'2006102';9.221388888888889;-8.047794;314.795;b'T';;;;
3;171;b'F';77.5;b'2006102';9.257222222222222;-15.528721;316.0799;b'T';;;;
3;481;b'F';77.5;b'2006102';10.839444444444444;0.63155895;321.29425;b'T';;;;
3;482;b'F';77.5;b'2006102';10.875555555555556;-6.701875;323.07343;b'T';;;;
3;483;b'F';77.5;b'2006102';10.911388888888888;-13.926935;325.21503;b'T';;;;
3;832;b'T';77.5;b'2006102';19.650277777777777;-10.329818;332.27823;b'T';;;;
