nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;151;b'F';70.0;b'2005136';2.739722222222222;-15.527483;314.5706;b'T';;;;
0;264;b'F';70.0;b'2005136';4.321111111111111;0.6297967;319.79922;b'T';;;;
0;265;b'F';70.0;b'2005136';4.356388888888889;-6.7036695;321.59012;b'T';;;;
0;266;b'F';70.0;b'2005136';4.391388888888889;-13.929095;323.74362;b'T';;;;
0;809;b'T';70.0;b'2005136';13.133888888888889;-10.331814;330.75488;b'T';;;;
0;810;b'T';70.0;b'2005136';13.17;-3.0487533;332.701;b'T';;;;
0;979;b'T';70.0;b'2005136';16.405833333333334;-11.779718;315.05362;b'T';;;;
0;980;b'T';70.0;b'2005136';16.441944444444445;-4.328937;316.43683;b'T';;;;
1;151;b'F';72.5;b'2005136';2.739722222222222;-15.527483;314.5706;b'T';;;;
1;264;b'F';72.5;b'2005136';4.321111111111111;0.6297967;319.79922;b'T';;;;
1;265;b'F';72.5;b'2005136';4.356388888888889;-6.7036695;321.59012;b'T';;;;
1;266;b'F';72.5;b'2005136';4.391388888888889;-13.929095;323.74362;b'T';;;;
1;809;b'T';72.5;b'2005136';13.133888888888889;-10.331814;330.75488;b'T';;;;
1;810;b'T';72.5;b'2005136';13.17;-3.0487533;332.701;b'T';;;;
1;979;b'T';72.5;b'2005136';16.405833333333334;-11.779718;315.05362;b'T';;;;
1;980;b'T';72.5;b'2005136';16.441944444444445;-4.328937;316.43683;b'T';;;;
2;151;b'F';75.0;b'2005136';2.739722222222222;-15.527483;314.5706;b'T';;;;
2;264;b'F';75.0;b'2005136';4.321111111111111;0.6297967;319.79922;b'T';;;;
2;265;b'F';75.0;b'2005136';4.356388888888889;-6.7036695;321.59012;b'T';;;;
2;266;b'F';75.0;b'2005136';4.391388888888889;-13.929095;323.74362;b'T';;;;
2;809;b'T';75.0;b'2005136';13.133888888888889;-10.331814;330.75488;b'T';;;;
2;810;b'T';75.0;b'2005136';13.17;-3.0487533;332.701;b'T';;;;
2;979;b'T';75.0;b'2005136';16.405833333333334;-11.779718;315.05362;b'T';;;;
2;980;b'T';75.0;b'2005136';16.441944444444445;-4.328937;316.43683;b'T';;;;
3;151;b'F';77.5;b'2005136';2.739722222222222;-15.527483;314.5706;b'T';;;;
3;264;b'F';77.5;b'2005136';4.321111111111111;0.6297967;319.79922;b'T';;;;
3;265;b'F';77.5;b'2005136';4.356388888888889;-6.7036695;321.59012;b'T';;;;
3;266;b'F';77.5;b'2005136';4.391388888888889;-13.929095;323.74362;b'T';;;;
3;809;b'T';77.5;b'2005136';13.133888888888889;-10.331814;330.75488;b'T';;;;
