nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;288;b'F';70.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
0;289;b'F';70.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
0;632;b'T';70.0;b'2006231';19.1825;-10.329504;317.15558;b'T';;;;
0;633;b'T';70.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';;;;
1;288;b'F';72.5;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
1;289;b'F';72.5;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
1;632;b'T';72.5;b'2006231';19.1825;-10.329504;317.15558;b'T';;;;
1;633;b'T';72.5;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';;;;
2;288;b'F';75.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
2;289;b'F';75.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
2;632;b'T';75.0;b'2006231';19.1825;-10.329504;317.15558;b'T';;;;
2;633;b'T';75.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';;;;
3;288;b'F';77.5;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
3;289;b'F';77.5;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
3;632;b'T';77.5;b'2006231';19.1825;-10.329504;317.15558;b'T';;;;
3;633;b'T';77.5;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';;;;
4;288;b'F';80.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
4;289;b'F';80.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
4;632;b'T';80.0;b'2006231';19.1825;-10.329504;317.15558;b'T';;;;
4;633;b'T';80.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';;;;
5;288;b'F';82.5;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
5;289;b'F';82.5;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
5;632;b'T';82.5;b'2006231';19.1825;-10.329504;317.15558;b'T';-2.3274918;276.81598;-12.591394;379.70883
5;633;b'T';82.5;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';1.8177781;404.8672;-15.665589;488.34567
6;288;b'F';85.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
6;289;b'F';85.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
6;632;b'T';85.0;b'2006231';19.1825;-10.329504;317.15558;b'T';1.2255416;112.51521;-3.3304362;168.17227
6;633;b'T';85.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';-14.145015;179.76633;-25.020485;218.75925
7;288;b'F';87.5;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
7;289;b'F';87.5;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
7;632;b'T';87.5;b'2006231';19.1825;-10.329504;317.15558;b'T';-5.854453;211.83043;23.82506;508.53394
7;633;b'T';87.5;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';-15.787628;146.13538;3.3739228;249.28758
8;288;b'F';90.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
8;289;b'F';90.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
8;632;b'T';90.0;b'2006231';19.1825;-10.329504;317.15558;b'T';-35.292076;156.47733;11.287156;290.31543
8;633;b'T';90.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';-21.700691;150.8813;7.921801;189.30334
9;288;b'F';92.5;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
9;289;b'F';92.5;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
9;632;b'T';92.5;b'2006231';19.1825;-10.329504;317.15558;b'T';-30.08046;151.2182;-43.955738;156.65219
9;633;b'T';92.5;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';-26.52538;199.78354;-16.25954;180.5322
10;288;b'F';95.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
10;289;b'F';95.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
10;632;b'T';95.0;b'2006231';19.1825;-10.329504;317.15558;b'T';-17.077343;156.89714;-75.87654;151.25691
10;633;b'T';95.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';-30.180275;203.88818;-36.05872;162.94632
11;288;b'F';97.5;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
11;289;b'F';97.5;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
11;632;b'T';97.5;b'2006231';19.1825;-10.329504;317.15558;b'T';-36.908516;173.60666;-79.1037;206.64029
11;633;b'T';97.5;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';9.108553;214.16495;-1.1041951;179.8612
12;288;b'F';100.0;b'2006231';8.75388888888889;0.6317916;330.50504;b'T';;;;
12;289;b'F';100.0;b'2006231';8.789722222222222;-6.7013936;332.28848;b'T';;;;
12;632;b'T';100.0;b'2006231';19.1825;-10.329504;317.15558;b'T';-61.913784;216.77612;-38.24272;280.33405
12;633;b'T';100.0;b'2006231';19.21833333333333;-3.0467474;319.10678;b'T';44.90503;211.01186;49.77515;219.39311
