nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;104;b'F';70.0;b'2005361';6.168333333333334;-8.047055;314.7158;b'?';;;;
0;105;b'F';70.0;b'2005361';6.204166666666667;-15.528272;316.00037;b'?';;;;
0;210;b'F';70.0;b'2005361';7.786388888888889;0.6306612;321.21545;b'?';;;;
0;681;b'T';70.0;b'2005361';16.59777777777778;-10.330613;332.1915;b'T';;;;
0;796;b'T';70.0;b'2005361';19.87;-11.780622;316.486;b'T';;;;
0;797;b'T';70.0;b'2005361';19.90583333333333;-4.3299475;317.87375;b'T';;;;
1;104;b'F';72.5;b'2005361';6.168333333333334;-8.047055;314.7158;b'?';;;;
1;105;b'F';72.5;b'2005361';6.204166666666667;-15.528272;316.00037;b'?';;;;
1;210;b'F';72.5;b'2005361';7.786388888888889;0.6306612;321.21545;b'?';;;;
1;681;b'T';72.5;b'2005361';16.59777777777778;-10.330613;332.1915;b'T';;;;
1;796;b'T';72.5;b'2005361';19.87;-11.780622;316.486;b'T';;;;
1;797;b'T';72.5;b'2005361';19.90583333333333;-4.3299475;317.87375;b'T';;;;
2;104;b'F';75.0;b'2005361';6.168333333333334;-8.047055;314.7158;b'?';;;;
2;105;b'F';75.0;b'2005361';6.204166666666667;-15.528272;316.00037;b'?';;;;
2;210;b'F';75.0;b'2005361';7.786388888888889;0.6306612;321.21545;b'?';;;;
2;681;b'T';75.0;b'2005361';16.59777777777778;-10.330613;332.1915;b'T';;;;
2;796;b'T';75.0;b'2005361';19.87;-11.780622;316.486;b'T';;;;
2;797;b'T';75.0;b'2005361';19.90583333333333;-4.3299475;317.87375;b'T';;;;
3;104;b'F';77.5;b'2005361';6.168333333333334;-8.047055;314.7158;b'?';;;;
3;105;b'F';77.5;b'2005361';6.204166666666667;-15.528272;316.00037;b'?';;;;
3;210;b'F';77.5;b'2005361';7.786388888888889;0.6306612;321.21545;b'?';;;;
3;681;b'T';77.5;b'2005361';16.59777777777778;-10.330613;332.1915;b'T';;;;
3;796;b'T';77.5;b'2005361';19.87;-11.780622;316.486;b'T';;;;
3;797;b'T';77.5;b'2005361';19.90583333333333;-4.3299475;317.87375;b'T';;;;
4;104;b'F';80.0;b'2005361';6.168333333333334;-8.047055;314.7158;b'?';;;;
4;105;b'F';80.0;b'2005361';6.204166666666667;-15.528272;316.00037;b'?';;;;
4;210;b'F';80.0;b'2005361';7.786388888888889;0.6306612;321.21545;b'?';;;;
4;681;b'T';80.0;b'2005361';16.59777777777778;-10.330613;332.1915;b'T';6.7218003;0.89316434;-11.005002;0.57634497
4;796;b'T';80.0;b'2005361';19.87;-11.780622;316.486;b'T';-22.668043;0.7097112;43.823257;0.7837486
4;797;b'T';80.0;b'2005361';19.90583333333333;-4.3299475;317.87375;b'T';;;;
5;104;b'F';82.5;b'2005361';6.168333333333334;-8.047055;314.7158;b'?';;;;
