nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;66;b'T';70.0;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
0;683;b'F';70.0;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
0;684;b'F';70.0;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
0;685;b'F';70.0;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
0;804;b'F';70.0;b'2006203';14.080277777777779;0.6297339;333.339;b'T';;;;
1;66;b'T';72.5;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
1;683;b'F';72.5;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
1;684;b'F';72.5;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
1;685;b'F';72.5;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
1;804;b'F';72.5;b'2006203';14.080277777777779;0.6297339;333.339;b'T';;;;
2;66;b'T';75.0;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
2;683;b'F';75.0;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
2;684;b'F';75.0;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
2;685;b'F';75.0;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
2;804;b'F';75.0;b'2006203';14.080277777777779;0.6297339;333.339;b'T';;;;
3;66;b'T';77.5;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
3;683;b'F';77.5;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
3;684;b'F';77.5;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
3;685;b'F';77.5;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
3;804;b'F';77.5;b'2006203';14.080277777777779;0.6297339;333.339;b'T';;;;
4;66;b'T';80.0;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
4;683;b'F';80.0;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
4;684;b'F';80.0;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
4;685;b'F';80.0;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
4;804;b'F';80.0;b'2006203';14.080277777777779;0.6297339;333.339;b'T';29.378716;415.95212;44.129368;685.0239
5;66;b'T';82.5;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
5;683;b'F';82.5;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
5;684;b'F';82.5;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
5;685;b'F';82.5;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
5;804;b'F';82.5;b'2006203';14.080277777777779;0.6297339;333.339;b'T';-33.472435;567.28436;-77.21202;597.40967
6;66;b'T';85.0;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
6;683;b'F';85.0;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
6;684;b'F';85.0;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
6;685;b'F';85.0;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
6;804;b'F';85.0;b'2006203';14.080277777777779;0.6297339;333.339;b'T';-10.223206;494.32397;-45.65179;508.43622
7;66;b'T';87.5;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
7;683;b'F';87.5;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';;;;
7;684;b'F';87.5;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';;;;
7;685;b'F';87.5;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';;;;
7;804;b'F';87.5;b'2006203';14.080277777777779;0.6297339;333.339;b'T';8.823418;413.95096;-18.008545;397.9672
8;66;b'T';90.0;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
8;683;b'F';90.0;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';-14.249985;199.3194;23.369638;283.57465
8;684;b'F';90.0;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';-1.219173;156.28247;11.169693;189.30836
8;685;b'F';90.0;b'2006203';12.498055555555556;-15.527444;328.12283;b'T';19.412622;123.29224;15.6020565;136.55173
8;804;b'F';90.0;b'2006203';14.080277777777779;0.6297339;333.339;b'T';13.128477;276.25925;23.880096;215.2197
9;66;b'T';92.5;b'2006203';1.8908333333333334;-11.77978;333.70282;b'T';;;;
9;683;b'F';92.5;b'2006203';12.426388888888889;-0.6296148;325.33517;b'T';-10.511528;185.65582;45.81452;149.82758
9;684;b'F';92.5;b'2006203';12.462222222222222;-8.046322;326.83884;b'T';12.238965;224.69687;54.042843;393.6797
