nalts;nvec;ascending;alt_retrieved;ut_date;UT_time;lat;lon;data_ok;u;var_u;v;var_v
0;603;b'F';70.0;b'2006342';9.790833333333333;-8.0469475;315.22763;b'';;;;
0;604;b'F';70.0;b'2006342';9.826944444444445;-15.527986;316.5079;b'';;;;
0;733;b'F';70.0;b'2006342';11.408888888888889;0.63059413;321.7274;b'';;;;
0;734;b'F';70.0;b'2006342';11.445;-6.7029724;323.50616;b'';;;;
0;735;b'F';70.0;b'2006342';11.480833333333333;-13.928178;325.6474;b'';;;;
0;1275;b'T';70.0;b'2006342';20.21888888888889;-10.330986;332.72443;b'?';;;;
0;1468;b'T';70.0;b'2006342';23.49138888888889;-11.780592;317.0147;b'?';;;;
0;1469;b'T';70.0;b'2006342';23.527222222222225;-4.329489;318.40256;b'?';;;;
1;603;b'F';72.5;b'2006342';9.790833333333333;-8.0469475;315.22763;b'';;;;
1;604;b'F';72.5;b'2006342';9.826944444444445;-15.527986;316.5079;b'';;;;
1;733;b'F';72.5;b'2006342';11.408888888888889;0.63059413;321.7274;b'';;;;
1;734;b'F';72.5;b'2006342';11.445;-6.7029724;323.50616;b'';;;;
1;735;b'F';72.5;b'2006342';11.480833333333333;-13.928178;325.6474;b'';;;;
1;1275;b'T';72.5;b'2006342';20.21888888888889;-10.330986;332.72443;b'?';;;;
1;1468;b'T';72.5;b'2006342';23.49138888888889;-11.780592;317.0147;b'?';;;;
1;1469;b'T';72.5;b'2006342';23.527222222222225;-4.329489;318.40256;b'?';;;;
2;603;b'F';75.0;b'2006342';9.790833333333333;-8.0469475;315.22763;b'';;;;
2;604;b'F';75.0;b'2006342';9.826944444444445;-15.527986;316.5079;b'';;;;
2;733;b'F';75.0;b'2006342';11.408888888888889;0.63059413;321.7274;b'';;;;
2;734;b'F';75.0;b'2006342';11.445;-6.7029724;323.50616;b'';;;;
2;735;b'F';75.0;b'2006342';11.480833333333333;-13.928178;325.6474;b'';;;;
2;1275;b'T';75.0;b'2006342';20.21888888888889;-10.330986;332.72443;b'?';;;;
2;1468;b'T';75.0;b'2006342';23.49138888888889;-11.780592;317.0147;b'?';;;;
2;1469;b'T';75.0;b'2006342';23.527222222222225;-4.329489;318.40256;b'?';;;;
3;603;b'F';77.5;b'2006342';9.790833333333333;-8.0469475;315.22763;b'';;;;
3;604;b'F';77.5;b'2006342';9.826944444444445;-15.527986;316.5079;b'';;;;
3;733;b'F';77.5;b'2006342';11.408888888888889;0.63059413;321.7274;b'';;;;
3;734;b'F';77.5;b'2006342';11.445;-6.7029724;323.50616;b'';;;;
3;735;b'F';77.5;b'2006342';11.480833333333333;-13.928178;325.6474;b'';;;;
3;1275;b'T';77.5;b'2006342';20.21888888888889;-10.330986;332.72443;b'?';;;;
3;1468;b'T';77.5;b'2006342';23.49138888888889;-11.780592;317.0147;b'?';;;;
3;1469;b'T';77.5;b'2006342';23.527222222222225;-4.329489;318.40256;b'?';;;;
4;603;b'F';80.0;b'2006342';9.790833333333333;-8.0469475;315.22763;b'';-90.46117;738.64136;-53.909996;735.8689
4;604;b'F';80.0;b'2006342';9.826944444444445;-15.527986;316.5079;b'';-49.310295;488.64456;-63.70733;461.3243
