tempo_decorrido;70.0km;72.5km;75.0km;77.5km;80.0km;82.5km;85.0km;87.5km;90.0km;92.5km;95.0km;97.5km;100.0km;70.0km;72.5km;75.0km;77.5km;80.0km;82.5km;85.0km;87.5km;90.0km;92.5km;95.0km;97.5km;100.0km
3.1913888888888886;;;;;;;;;;;;;;;;;;;;;;;;;;
3.227222222222222;;;;;;;;;;;;;;;;;;;;;;;;;;
4.8469444444444445;;;;;;;;;;;;;;;;;;;;;;;;;;
4.882499999999999;;;;;;;;;;;;;;;;;;;;;;;;;;
15.381944444444445;;;;;;25.05429304530463;22.636817355803355;19.411735110494373;18.63607066953761;18.952481631701954;18.772020669070233;18.410601836985123;18.122331527703604;;;;;;25.05429304530463;22.636817355803355;19.411735110494373;18.63607066953761;18.952481631701954;18.772020669070233;18.410601836985123;18.122331527703604
15.418055555555556;;;;;;20.607541823322837;18.16090361188011;15.626719745359228;14.922554070935712;15.350119217778083;14.853812978491415;14.909118350861663;14.78742540133339;;;;;;20.607541823322837;18.16090361188011;15.626719745359228;14.922554070935712;15.350119217778083;14.853812978491415;14.909118350861663;14.78742540133339
15.453888888888889;;;;;;21.676514941290723;19.62347675617142;17.01528254246752;15.246498942380182;16.29589518866638;17.737443445998636;16.046486219730472;15.100784416711603;;;;;;21.676514941290723;19.62347675617142;17.01528254246752;15.246498942380182;16.29589518866638;17.737443445998636;16.046486219730472;15.100784416711603
17.036388888888887;;;;;;16.674036703809907;21.535289178462406;13.388198907993562;10.676405293917986;11.892059535673372;11.589790334600536;9.78150934160981;8.475777604444326;;;;;;16.674036703809907;21.535289178462406;13.388198907993562;10.676405293917986;11.892059535673372;11.589790334600536;9.78150934160981;8.475777604444326
17.071944444444444;;;;;;19.145893032188393;17.217646761389897;13.117382741995447;11.763448473980748;12.05790155872903;12.823905411379172;12.440311089357854;12.187472256378678;;;;;;19.145893032188393;17.217646761389897;13.117382741995447;11.763448473980748;12.05790155872903;12.823905411379172;12.440311089357854;12.187472256378678
17.107777777777777;;;;;;14.376222730606257;11.472694103827575;9.676464230285772;9.84865625352007;11.173002103284507;12.664481829115632;11.137707124897835;9.898159930007193;;;;;;14.376222730606257;11.472694103827575;9.676464230285772;9.84865625352007;11.173002103284507;12.664481829115632;11.137707124897835;9.898159930007193
