tempo_decorrido;70.0km;72.5km;75.0km;77.5km;80.0km;82.5km;85.0km;87.5km;90.0km;92.5km;95.0km;97.5km;100.0km;std_70.0km;std_72.5km;std_75.0km;std_77.5km;std_80.0km;std_82.5km;std_85.0km;std_87.5km;std_90.0km;std_92.5km;std_95.0km;std_97.5km;std_100.0km
2.7375;;;;;;372.28467;184.79417;23.419214;-30.301517;46.569496;101.363106;149.88055;160.2601;;;;;;0.8740593801338671;0.8737611515740442;0.8735029479057297;0.8733168955196046;0.8733246246385132;0.8735464154811695;0.8738777603303565;0.8741311457670411
15.000833333333333;;;;;;35.54815;14.285012;8.965851;30.00572;45.193954;40.658287;32.796417;26.137657;;;;;;25.37712355646321;24.05739096410914;22.80390975249639;18.53433300661235;17.318478570590432;16.887901882708817;16.624275021786662;16.416902265652922
23.74;;;;;;;;;;;;;;;;;;;;;;;;;;
15.0;;;;;;2.4195518;4.313675;15.068247;-1.4422989;15.349073;56.601006;81.18138;101.71679;;;;;;25.92326175464808;24.322964457483383;22.265628219298012;21.284277765524486;21.690516821874024;21.849399076404826;20.9904435398588;22.091472789291345
14.96388888888889;;;;;;-50.04637;-32.253387;-15.443418;5.1213737;24.56731;37.200905;55.739445;91.74907;;;;;;22.788066175083834;21.383873596708337;19.844906147422314;19.127013619485922;17.827594341357447;14.436376622961872;17.588850161394863;17.459196716916846
14.928333333333336;;;;;;-15.300973;-21.668297;-22.596733;-18.460934;19.08094;67.91752;77.261665;81.781364;;;;;;25.028657574868056;23.385240003044657;21.205843534271395;20.588070574971322;21.103926885771756;20.079991284858668;21.186738776885885;22.1421159783793
2.773611111111111;;;;;;;;;;;;;;;;;;;;;;;;;;
2.7375;;;;;;;;;;;;;;;;;;;;;;;;;;
23.77583333333333;;;;;-40.650322;-37.980465;-38.810345;-44.628117;-36.34732;-4.321677;29.04799;62.8708;96.41321;;;;;24.709903884879843;24.4588914303163;23.617806841449102;21.275048766101573;17.291187639951165;14.899223134110047;16.299856747836774;18.74048185079562;20.90627561283932
23.74;;;;;4.327839;7.8802366;3.8449645;19.153008;44.86747;55.154552;31.41918;-3.2021217;-34.470818;;;;;24.84283115910906;24.517606734752885;23.14496921579288;19.837531348431437;15.480489010363982;13.597884761976768;16.634639761653993;20.039807883310658;22.313499725502496
14.964722222222225;;;;;;40.07468;22.803371;8.872223;0.6636915;5.3537607;6.9989166;-2.7779398;-21.78785;;;;;;22.16275862793258;20.896098678940046;19.361954963277856;19.403003891150462;17.433126512476182;16.466869162047775;15.728303150689841;16.141523162328888
2.773333333333333;;;;;;;38.97912;-30.1458;-55.118492;-5.509836;-0.78950304;5.4281874;11.927142;;;;;;;0.8933359390509261;0.8925366883215502;0.8919898542023895;0.8919933575985866;0.8925184928056112;0.893292729176724;0.8939044859491421
14.928611111111111;;;;;;63.33554;31.718237;0.15590811;-36.362003;-39.56083;15.276129;41.392178;63.327145;;;;;;26.306875527131684;24.549641545244604;22.003016838606474;21.94726702803791;22.292674132997146;21.083641288923506;18.827516299289186;19.12541084526029
2.773611111111111;;;;;;;;;;;;;;;;;;;;;;;;;;
2.7375;;;;;;;;;;;;;;;;;;;;;;;;;;
23.77555555555556;;;;;;-87.28427;-46.599693;-6.229065;38.621162;84.17005;95.49072;104.10202;110.58621;;;;;;0.8293728353400538;0.829331941987043;0.8292748036688442;0.8292308122591683;0.8292248187313258;0.8292486358143738;0.8292443246715651;0.8290208079415137
23.739722222222223;;;;;;13.848664;30.718616;75.22933;113.104034;123.64696;96.92844;100.11125;135.9961;;;;;;0.8289759345119736;0.8289106706998046;0.828839248588048;0.8288043798146822;0.8288267611509657;0.8288808720196166;0.8288901012800189;0.828687371690917
15.000277777777775;;;;;93.977196;65.14118;36.415535;14.859449;2.5223355;-0.31447315;3.9045544;8.791189;1.1209373;;;;;0.8179808066207911;0.8179297219199214;0.8178450953573054;0.8177185334820289;0.8170311071189394;0.8166555332574439;0.8165253517191;0.8165507945008688;0.8167019897122818
14.964444444444444;;;;;291.69983;128.68304;58.96099;-12.68989;-53.022903;-33.712593;-9.077535;3.3375835;38.174896;;;;;0.8647173179716017;0.7382479461535941;0.7381494428637063;0.738097114206525;0.7379789969911068;0.7377376701782281;0.7376251758176371;0.737613150641988;0.7376880099337388
14.928611111111111;;;;;129.07837;48.500343;27.27457;12.21674;-3.5914268;-2.7032566;19.31745;36.866596;110.09671;;;;;0.7774537928391629;0.8507210471123893;0.8505994592050949;0.8505186652860711;0.8505000587889456;0.850444060476643;0.8503269959256851;0.8502550205673589;0.8502328269362457
23.77583333333333;;;;;;;;;;;;;;;;;;;;;;;;;;
